Ticker,Date,Open,High,Low,Close,Adj Close,Volume
DKNG,7/25/2019,9.8,9.8,9.8,9.8,9.8,100
DKNG,7/26/2019,9.8,9.8,9.8,9.8,9.8,0
DKNG,7/29/2019,9.8,9.8,9.8,9.8,9.8,0
DKNG,7/30/2019,9.8,9.8,9.8,9.8,9.8,0
DKNG,7/31/2019,9.8,9.8,9.8,9.8,9.8,0
DKNG,8/1/2019,9.8,9.8,9.8,9.8,9.8,0
DKNG,8/2/2019,9.8,9.8,9.8,9.8,9.8,0
DKNG,8/5/2019,9.8,9.8,9.8,9.8,9.8,0
DKNG,8/6/2019,9.8,9.8,9.8,9.8,9.8,0
DKNG,8/7/2019,9.76,9.76,9.76,9.76,9.76,150000
DKNG,8/8/2019,9.76,9.76,9.76,9.76,9.76,150000
DKNG,8/9/2019,9.76,9.76,9.76,9.76,9.76,150000
DKNG,8/12/2019,9.76,9.76,9.76,9.76,9.76,150000
DKNG,8/13/2019,9.77,9.78,9.77,9.78,9.78,320000
DKNG,8/14/2019,9.77,9.78,9.77,9.78,9.78,320000
DKNG,8/15/2019,9.77,9.78,9.77,9.78,9.78,320000
DKNG,8/16/2019,9.78,9.78,9.78,9.78,9.78,0
DKNG,8/19/2019,9.78,9.78,9.78,9.78,9.78,0
DKNG,8/20/2019,9.84,9.85,9.84,9.85,9.85,1000
DKNG,8/21/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,8/22/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,8/23/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,8/26/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,8/27/2019,9.85,9.85,9.85,9.85,9.85,99100
DKNG,8/28/2019,9.85,9.85,9.85,9.85,9.85,97400
DKNG,8/29/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,8/30/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/3/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/4/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/5/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/6/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/9/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/10/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/11/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/12/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/13/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/16/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/17/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/18/2019,9.85,9.92,9.85,9.9,9.9,88800
DKNG,9/19/2019,9.9,9.9,9.9,9.9,9.9,0
DKNG,9/20/2019,9.84,9.85,9.84,9.85,9.85,290000
DKNG,9/23/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/24/2019,9.85,9.85,9.85,9.85,9.85,26500
DKNG,9/25/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/26/2019,9.85,9.85,9.85,9.85,9.85,25000
DKNG,9/27/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,9/30/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,10/1/2019,9.906,9.92,9.906,9.92,9.92,2500
DKNG,10/2/2019,9.92,9.92,9.92,9.92,9.92,0
DKNG,10/3/2019,9.89,9.89,9.89,9.89,9.89,100000
DKNG,10/4/2019,9.92,9.92,9.896,9.92,9.92,900
DKNG,10/7/2019,9.92,9.92,9.92,9.92,9.92,0
DKNG,10/8/2019,9.92,9.92,9.92,9.92,9.92,0
DKNG,10/9/2019,9.92,9.92,9.92,9.92,9.92,35800
DKNG,10/10/2019,9.92,9.92,9.92,9.92,9.92,100
DKNG,10/11/2019,9.92,9.92,9.92,9.92,9.92,0
DKNG,10/14/2019,9.92,9.92,9.92,9.92,9.92,0
DKNG,10/15/2019,9.85,9.95,9.85,9.95,9.95,6200
DKNG,10/16/2019,9.85,9.95,9.85,9.926,9.926,706300
DKNG,10/17/2019,9.9,9.95,9.9,9.95,9.95,151000
DKNG,10/18/2019,9.95,9.95,9.9,9.95,9.95,10400
DKNG,10/21/2019,9.95,9.95,9.9,9.924,9.924,32700
DKNG,10/22/2019,9.9,9.9,9.87,9.87,9.87,279900
DKNG,10/23/2019,9.87,9.87,9.87,9.87,9.87,0
DKNG,10/24/2019,9.87,9.87,9.87,9.87,9.87,0
DKNG,10/25/2019,9.85,9.85,9.85,9.85,9.85,100000
DKNG,10/28/2019,9.85,9.85,9.85,9.85,9.85,0
DKNG,10/29/2019,9.93,9.93,9.93,9.93,9.93,17500
DKNG,10/30/2019,9.9,9.912,9.85,9.881,9.881,7300
DKNG,10/31/2019,10.15,10.15,10.07,10.08,10.08,1698200
DKNG,11/1/2019,10.1,10.132,10.08,10.08,10.08,32800
DKNG,11/4/2019,10.09,10.09,10.06,10.09,10.09,246500
DKNG,11/5/2019,10.07,10.09,10.06,10.09,10.09,10100
